Наименование;Емайл;Телефон1;Сайт;id;id родителя;Адрес;местоположение
Вторчермет;;73833534013;нзвчм.рф;141265769677288;141274359270342;Россия, Новосибирск, улица Богдана Хмельницкого, 139;POINT(82.990597 55.115625)
Вторчермет;;73833534013;нзвчм.рф;70000001007549900;141274359270342;Россия, Новосибирская область, Искитим, Советская улица, 397;POINT(83.311305 54.620386)
Вторчермет;;73833534013;нзвчм.рф;141265769357443;141274359270342;Россия, Новосибирск, Чукотская улица, 2;POINT(82.889977 54.960493)
Вторчермет;;73833534013;нзвчм.рф;70000001022654400;141274359270342;Россия, Новосибирская область, Ордынский район, рабочий посёлок Ордынское, Октябрьская улица, 96;POINT(81.869095 54.356262)
ЗАПСибВторресурс;;73832140000;www.zsvr.ru;141265769355051;141274359277732;Россия, Новосибирск, Нижегородская улица, 270/2;POINT(82.975784 55.001034)
ЗАПСибВторресурс;;73832140000;www.zsvr.ru;70000001020544400;141274359277732;Россия, Новосибирск, улица Авиастроителей, 30Вк1;POINT(82.986043 55.078308)
ЗАПСибВторресурс;;73832140000;www.zsvr.ru;70000001028597400;141274359277732;Россия, Новосибирск, улица Дегтярёва, 23;POINT(83.040445 55.043128)
ЗАПСибВторресурс;;73832140000;www.zsvr.ru;70000001035100300;141274359277732;Россия, Новосибирск, Архонский переулок, 2;POINT(82.815875 54.954931)
Новосибвторцветмет;;79059381002;;70000001036044200;141274359287839;Россия, Новосибирская область, Коченёвский муниципальный район, рабочий посёлок Коченёво, Ипподромская улица, 26;POINT(82.219636 55.018789)
Новосибвторцветмет;;73833533987;нвцм.рф;141265769357438;141274359287839;Россия, Новосибирск, Чукотская улица, 2А;POINT(82.883644 54.960964)
Металл-лик;;73832990166;www.metal-lik.ru;141265769398557;141274359319031;Россия, Новосибирск, 2-я Станционная улица, 28/1к3;POINT(82.807961 55.016435)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;141265770027324;141274359327973;Россия, Новосибирск, Толмачёвское шоссе, 43Ак3;POINT(82.803514 54.957604)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;141265770027325;141274359327973;Россия, Новосибирск, Станционная улица, 32/1к2;POINT(82.82652 55.013508)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;141265770027331;141274359327973;Россия, Новосибирск, Кировский район, Северо-Чемской жилмассив, Тюменская улица, 10к1;POINT(82.952526 54.956229)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;141265770264434;141274359327973;Россия, Новосибирск, улица Петухова, 35Бк1;POINT(82.856802 54.950464)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;70000001018565800;141274359327973;Россия, Новосибирск, Выборная улица, 87/4;POINT(83.010108 55.000678)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;70000001023544300;141274359327973;Россия, Новосибирск, улица Молодости, 53Б;POINT(82.959884 54.860155)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;70000001024688600;141274359327973;Россия, Новосибирск, Тайгинская улица, 4/1;POINT(82.99861 55.106242)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;70000001024689600;141274359327973;Россия, Новосибирск, Станционная улица, 38к651КАП;POINT(82.824391 55.004943)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;70000001028847200;141274359327973;Россия, Новосибирск, улица Сибиряков-Гвардейцев, 49/5;POINT(82.925667 54.952315)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;70000001029239800;141274359327973;Россия, Новосибирская область, Черепаново, улица Строителей, 47;POINT(83.4049 54.218426)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;70000001032156500;141274359327973;Россия, Новосибирская область, Бердск, Первомайская улица, 8/2;POINT(83.101584 54.768111)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;70000001033111000;141274359327973;Россия, Приморский край, Уссурийский городской округ, село Красный Яр, Советская улица, 28;POINT(131.915255 43.697473)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;70000001033130500;141274359327973;Россия, Новосибирск, Троллейная улица, 85Б;POINT(82.854969 54.964695)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;70000001033130600;141274359327973;Россия, Новосибирск, Советский район, микрорайон Правые Чёмы, Тихая улица, 2;POINT(83.06416 54.850785)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;70000001035345500;141274359327973;Россия, Новосибирская область, Искитим, Советская улица, 479;POINT(83.306265 54.608202)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;70000001035345500;141274359327973;Россия, Новосибирская область, Коченёвский муниципальный район, рабочий посёлок Коченёво, улица 30 лет Победы, 2;POINT(82.208596 55.006378)
Втормет;info@nsk.sgmk.ru;73832872942;vtormet54.ru;70000001036167600;141274359327973;Россия, Новосибирск, Баганская улица, 100А;POINT(83.071302 54.971709)
Золотой Клондайк-78;;73832131209;goldklondayk.ru;141265769446848;141274359355406;Россия, Новосибирск, Станционная улица, 2;POINT(82.883033 54.998488)
Планета плюс;;79137231841;www.planeta54.su;141265769548903;141274359431661;Россия, Новосибирск, улица Сибиряков-Гвардейцев, 49А;POINT(82.935342 54.950324)
Ресурсы Сибири;;73832483777;www.resurs-sibiri.ru;141265770024137;141274359599932;Россия, Новосибирск, улица Сибиряков-Гвардейцев, 49Ак10;POINT(82.929988 54.950841)
Чистый Сервис;nvs-info@chistiy.ru;73833281158;www.chistiy.ru;141265769817482;141274359610996;Россия, Новосибирск, 2-й Воинский проезд, 42/2;POINT(82.986123 55.018035)
Софти;;73833499947;xn--h1alifj.xn--p1ai/;141265769862738;141274359639028;Россия, Новосибирская область, Новосибирский район, Барышевский сельсовет, посёлок Двуречье, Молодёжная улица, 11Б;POINT(83.209624 54.953701)
Семья и дети;;73832211177;;141265769916216;141274359671382;Россия, Новосибирск, Красный проспект, 56;POINT(82.91945 55.037546)
РЕТЭКО;info@reteco.ru;73833190344;reteco.ru;141265769927910;141274359678418;Россия, Новосибирская область, Обь, Арсенальная улица, 1к5;POINT(82.701905 55.002852)
Ломовик;;79139176590;купимлом.рф;70000001023542300;141274359745584;Россия, Новосибирская область, Искитим, Литейная улица, 1А;POINT(83.299824 54.619901)
Ломовик;;;купимлом.рф;70000001025407900;141274359745584;Россия, Новосибирск, Станционная улица, 43;POINT(82.837291 54.996061)
Ломовик;;79231760701;купимлом.рф;70000001031426800;141274359745584;Россия, Новосибирская область, Ордынский район, рабочий посёлок Ордынское, улица Чехова, 43;POINT(81.872338 54.360228)
Ломовик;;79137007406;купимлом.рф;70000001028381200;141274359745584;Россия, Новосибирск, 2-я Станционная улица, 30к12;POINT(82.810557 55.012486)
Оптимальные ресурсы;;73832990466;www.lomnsk.ru;70000001007338200;141274359817767;Россия, Новосибирск, Станционная улица, 60/1;POINT(82.816566 54.997853)
Меткомплекс;;73832899929;mtcomplex.ru;141265770290651;141274359824008;Россия, Новосибирск, улица Королёва, 40к15;POINT(82.964806 55.058183)
Вторчермет НЛМК Сибирь, ломоперерабатывающая компания;secretar_sibir@uvchm.ru;73832301491;www.uralvtorchermet.ru;141265770440528;141274359863372;Россия, Новосибирск, Станционная улица, 82;POINT(82.7941 55.005408)
Вторчермет НЛМК Сибирь;;73832301489;www.uralvtorchermet.ru;141265770440529;141274359863372;Россия, Новосибирск, Станционная улица, 60к3;POINT(82.822828 55.000678)
Вторчермет НЛМК Сибирь;;73833752510;www.uralvtorchermet.ru;141265770440530;141274359863372;Россия, Новосибирск, Бетонная улица, 4к3;POINT(82.910809 54.957283)
Вторчермет НЛМК Сибирь;;73833752513;www.uralvtorchermet.ru;141266769766768;141274359863372;Россия, Новосибирская область, Новосибирский район, Станционный сельсовет, улица Пашинский Переезд, 1/1;POINT(83.00771 55.123095)
Вторчермет НЛМК Сибирь;;73833757383;www.uralvtorchermet.ru;141266769766778;141274359863372;Россия, Новосибирск, 1-й Грузинский переулок, 5;POINT(82.912947 55.12379)
Вторчермет НЛМК Сибирь;;73833752726;www.uralvtorchermet.ru;70000001007139200;141274359863372;Россия, Новосибирск, Толмачёвская улица, 33/3к1;POINT(82.810431 54.966127)
СибМетРесурс;;73832279279;;141265770441345;141274359863892;Россия, Новосибирская область, Бердск, улица Зелёная Роща, 5к20;POINT(83.044936 54.740911)
СибМетРесурс;;73832279279;;70000001033954200;141274359863892;Россия, Новосибирская область, Искитим, Станционная улица, 1;POINT(83.295836 54.643144)
СибРтуть;;73833671908;sibhg.ru;141265770494717;141274359887729;Россия, Новосибирск, Тайгинская улица, 3;POINT(82.995717 55.107983)
Новосибирский Перерабатывающий Комбинат;;73833631636;;141265770847574;141274359990036;Россия, Новосибирск, Большая улица, 256;POINT(82.873547 55.006988)
Ферроком;info@ferrocom.org;88003333154;www.f-vm.ru;70000001024169000;141274360002372;Россия, Новосибирск, улица Гоголя, 236;POINT(82.979215 55.054166)
